close,rsi,ema_fast,ema_slow,momentum,label
75045.01,74.58,74857.88,74482.33,157.76999999998952,SELL
74707.03,61.97,74869.29,74512.13,-181.18000000000757,SELL
74677.91,56.65,74841.66,74536.72,-266.2399999999907,SELL
74594.02,37.51,74832.93,74577.63,-449.45999999999185,SELL
74313.0,34.94,74806.06,74605.31,-732.0099999999948,BUY
74574.79,45.61,74818.72,74667.62,-132.24000000000524,BUY
74624.0,40.27,74795.49,74726.67,-53.91000000000349,SELL
73788.03,28.96,74721.15,74748.6,-805.9900000000052,BUY
73973.33,33.87,74638.95,74755.88,-339.66999999999825,BUY
74697.19,50.62,74571.44,74733.7,122.40000000000873,SELL
74175.57,39.74,74465.64,74708.57,-448.429999999993,BUY
74343.25,42.5,74416.29,74695.11,555.2200000000012,BUY
75026.71,50.97,74405.67,74682.4,1053.3800000000047,BUY
75342.99,53.34,74426.73,74690.95,645.8000000000029,SELL
75223.47,51.94,74492.6,74696.07,1047.8999999999942,SELL
74934.24,52.5,74503.67,74706.16,590.9900000000052,SELL
74867.92,52.07,74503.6,74695.81,-158.79000000000815,BUY
75154.29,55.85,74666.48,74693.13,-188.70000000001164,SELL
74944.98,56.7,74803.98,74679.58,-278.49000000000524,SELL
74750.0,51.88,74819.57,74651.42,-184.24000000000524,SELL
74700.0,50.82,74925.5,74620.15,-167.91999999999825,SELL
74615.82,60.62,75009.64,74612.81,-538.4699999999866,BUY
74791.39,60.52,74994.07,74612.58,-153.5899999999965,SELL
74637.77,49.1,74912.39,74614.85,-112.22999999999593,BUY
74938.52,62.32,74859.4,74649.29,238.52000000000407,BUY
75074.77,61.93,74858.71,74667.8,458.9499999999971,BUY
75780.38,62.2,74910.25,74703.67,988.9900000000052,SELL
75779.99,57.88,74917.66,74810.87,1142.2200000000012,SELL
75278.77,50.88,74933.69,74893.95,340.25,BUY
75589.7,60.32,75003.71,74930.45,514.929999999993,BUY
76233.05,68.19,75127.81,75030.85,452.66999999999825,BUY
77340.12,73.9,75345.1,75154.84,1560.12999999999,BUY
77886.77,79.95,75588.68,75244.63,2608.0,SELL
77785.02,81.5,75881.94,75310.07,2195.320000000007,BUY
77857.14,82.62,76161.13,75391.06,1624.0899999999965,SELL
77520.59,78.52,76429.86,75490.68,180.47000000000116,SELL
77159.89,72.44,76585.74,75590.75,-726.8800000000047,BUY
77393.58,75.72,76773.49,75679.21,-391.4400000000023,SELL
77337.64,73.46,77067.88,75788.22,-519.5,BUY
77445.73,73.32,77348.64,75922.43,-74.86000000000058,SELL
77301.25,66.81,77541.35,76063.86,141.36000000000058,SELL
77072.0,63.59,77549.53,76213.28,-321.58000000000175,BUY
77168.0,71.73,77468.45,76358.98,-169.63999999999942,BUY
77218.07,69.93,77398.55,76526.75,-227.65999999998894,BUY
77292.52,65.06,77312.09,76680.79,-8.729999999995925,SELL
77005.47,43.8,77257.88,76823.52,-66.52999999999884,BUY
77100.74,32.5,77265.99,76918.15,-67.25999999999476,BUY
77134.66,35.07,77236.06,77018.9,-83.41000000000349,BUY
77136.01,32.89,77212.49,77166.75,-156.5100000000093,SELL
76997.8,36.3,77159.25,77292.78,-7.669999999998254,SELL
76738.63,38.34,77110.12,77364.7,-362.1100000000006,SELL
76599.89,26.82,77087.37,77344.58,-534.7700000000041,SELL
